==================================================================
  CRITERIO 8 · Q5 sobre AstraDB (CQL + resultado)
==================================================================
-- Q5 · tokens GenAI y costo estimado por día
SELECT usage_date, total_tokens, estimated_cost_usd
FROM cloud_analytics.genai_tokens_by_org_date WHERE org_id='org_pbhsahxt';

usage_date  total_tokens  estimated_cost_usd
2025-08-31          2488             24.7227
2025-08-30          5401             34.0184
2025-08-29          2210             16.7402
2025-08-28          4885             43.9459
2025-08-27          1777              2.5819
2025-08-26          2940             23.4376
2025-08-25          8631             92.0452
2025-08-24          2601             19.2994
2025-08-23           991              2.5319
2025-08-22          4488             70.5090
2025-08-21          8225             96.5390
2025-08-20          3255             58.5554
2025-08-19          1594             13.1029
2025-08-18          3752             30.6630
2025-08-17          6129             73.1764
2025-08-16          5217             35.0764
2025-08-15          5189             26.7026
2025-08-14          1539              2.3404
2025-08-13          7394             18.6430
2025-08-12          2936             16.0351
2025-08-11          5213             46.1250
2025-08-10          2933             17.3493
2025-08-09          8049             14.2822
2025-08-08          2840              1.8926
2025-08-07          7995             67.1041
2025-08-06          6486             65.1643
2025-08-05          2912             35.7824
2025-08-04          1940             13.8060
2025-08-03          6728             29.2490
2025-08-02          4275             42.3866
2025-08-01          3179             19.5654
2025-07-31          4894             39.7893
2025-07-30          4040             80.0280
2025-07-29          5524             30.7775
2025-07-28          7052             75.3760
2025-07-27          4676             65.3190
2025-07-26          3031              2.5080
2025-07-25          4454              3.9199
2025-07-23          4737             55.8346
2025-07-22          5176             20.3892
2025-07-21          2758             14.8798
2025-07-20          2935              4.0093
2025-07-19          7846             42.5814
2025-07-18          8464             96.1697
2025-07-17             0             30.0453
2025-07-16             0             20.9741
2025-07-15             0             38.3321
2025-07-14             0             17.4158
2025-07-12             0             35.0446
2025-07-11             0             70.1143
2025-07-10             0             63.9089
2025-07-09             0             14.7732
2025-07-07             0             44.0370
2025-07-06             0             30.7972
2025-07-05             0             44.2529
2025-07-04             0             17.7780
2025-07-03             0             19.3576

  Los días previos al 2025-07-18 dan 0 tokens con costo > 0: genai_tokens sólo
  existe en schema_version=2. Es la evolución de esquema, no un hueco de datos.
