==================================================================
  CRITERIO 4 · Consulta Q1 sobre AstraDB (CQL + resultado)
==================================================================
-- Q1 (CQL)
SELECT usage_date, daily_cost_usd, requests
FROM cloud_analytics.org_daily_usage_by_service
WHERE org_id='org_rixa11dp' AND service='genai'
  AND usage_date>='2025-07-03' AND usage_date<='2025-08-31';

usage_date  daily_cost_usd  requests
2025-08-31           17.89     138.0
2025-08-30           21.01     129.0
2025-08-29           16.16     122.0
2025-08-28           53.32     464.0
2025-08-27           21.47     137.0
2025-08-26           37.10     338.0
2025-08-25           29.37     235.0
2025-08-24          340.53     390.0
2025-08-23            9.45     107.0
2025-08-21           15.80     109.0
2025-08-20           34.16     226.0
2025-08-18           22.36     228.0
2025-08-17           43.35     343.0
2025-08-16           33.51     264.0
2025-08-15           33.92     285.0
2025-08-14           16.36     120.0
2025-08-13           18.28     135.0
2025-08-11           20.49     125.0
2025-08-09           28.21     213.0
2025-08-08           28.86     230.0
2025-08-07           30.85     262.0
2025-08-06           12.50     113.0
2025-08-05            3.14       0.0
2025-08-04           74.46     612.0
2025-08-02            0.00       0.0
2025-08-01           29.33     118.0
2025-07-31           29.87     247.0
2025-07-30           63.04     580.0
2025-07-29           28.78     244.0
2025-07-28           17.96     110.0
2025-07-27           35.41     284.0
2025-07-25           33.08     212.0
2025-07-24           17.21     131.0
2025-07-23           36.37     260.0
2025-07-22            1.54       0.0
2025-07-21            1.39       0.0
2025-07-20           28.10     235.0
2025-07-18           16.24     120.0
2025-07-17           20.70     132.0
2025-07-16           61.34     378.0
2025-07-15           32.86     233.0
2025-07-14           22.16     140.0
2025-07-13            1.55       0.0
2025-07-12           45.71     378.0
2025-07-11           31.38     241.0
2025-07-10            1.51       0.0
2025-07-09            1.28       0.0
2025-07-07           39.55     368.0
2025-07-06           23.56     215.0
2025-07-05           39.93     372.0
2025-07-04           27.82     243.0
2025-07-03           11.91      98.0
